match_id,point_duration_time_x,SET_GAME_POINT,rally_length,PLAYER_WIN_NAME,server_name
US_Open_2023_1st_Stephens_Haddad-Maia,18.336,2_1_6,13,HADDAD MAIA,STEPHENS
Rome_2023_QF_Haddad-Maia_Kalinina,21.009,2_10_3,14,KALININA,HADDAD MAIA
US_Open_2023_R64_Townsend_Haddad-Maia,11.213,1_6_4,6,HADDAD MAIA,HADDAD MAIA
Indian_Wells_2023_R64_Siniakova_Haddad-Maia,16.10014001734314,3_1_5,11,SINIAKOVA,SINIAKOVA
Rome_2023_R32_Linette_Haddad-Maia,20.804,2_5_3,14,LINETTE,LINETTE
AO_2023_1st_Haddad-Maia_Parrizas-Diaz,16.05262799078369,1_12_6,11,HADDAD MAIA,PARRIZAS DIAZ
Rome_2023_R16_Osorio_Haddad-Maia,13.021,2_8_6,8,OSORIO,OSORIO
Indian_Wells_2023_R32_Raducanu_Haddad-Maia,19.56271896463776,3_10_1,12,RADUCANU,RADUCANU
Adelaide2_2023_4th_Haddad-Maia_Badosa,21.263686047943114,2_1_1,16,HADDAD MAIA,HADDAD MAIA
Miami_2023_R32_Ostapenko_Haddad-Maia,9.61659894052124,1_4_2,6,OSTAPENKO,HADDAD MAIA
Cincinnati_2023_R64_Muchova_Haddad-Maia,15.493,1_4_4,9,MUCHOVA,HADDAD MAIA
Madrid_2023_R64_Haddad-Maia_Andreeva,18.454,2_3_17,12,HADDAD MAIA,HADDAD MAIA
Miami_2023_R64_Martincova_Haddad-Maia,16.706248985733033,1_3_6,12,MARTINCOVA,MARTINCOVA
United_Cup_2023_RR_Haddad_Maia_Helgo,10.950156023086548,1_2_5,8,HADDAD MAIA,HADDAD MAIA
AO_2023_1st_Haddad-Maia_Parrizas-Diaz,15.60008006572113,1_6_2,11,HADDAD MAIA,PARRIZAS DIAZ
Adelaide2_2023_4th_Haddad-Maia_Badosa,21.114862066879272,2_4_18,16,HADDAD MAIA,BADOSA
Miami_2023_R64_Martincova_Haddad-Maia,15.926460025071716,1_4_3,10,MARTINCOVA,HADDAD MAIA
Indian_Wells_2023_R64_Siniakova_Haddad-Maia,14.763829079644776,2_13_7,11,HADDAD MAIA,SINIAKOVA
US_Open_2023_R64_Townsend_Haddad-Maia,11.102,1_13_2,8,TOWNSEND,HADDAD MAIA
Rome_2023_R32_Linette_Haddad-Maia,20.783,1_10_6,13,LINETTE,HADDAD MAIA
Rome_2023_R64_Ruse_Haddad-Maia,14.377,2_6_5,8,HADDAD MAIA,RUSE
Rome_2023_R16_Osorio_Haddad-Maia,12.628,2_8_8,9,HADDAD MAIA,OSORIO
Indian_Wells_2023_R32_Raducanu_Haddad-Maia,19.461411105973816,2_5_1,14,HADDAD MAIA,HADDAD MAIA
Miami_2023_R32_Ostapenko_Haddad-Maia,9.4037440347229,2_3_1,7,OSTAPENKO,OSTAPENKO
United_Cup_2023_RR_Haddad-Maia_Trevisan,12.342600031684876,1_1_1,8,TREVISAN,TREVISAN
US_Open_2023_1st_Stephens_Haddad-Maia,18.109,2_9_9,13,STEPHENS,STEPHENS
Cincinnati_2023_R64_Muchova_Haddad-Maia,15.268,3_6_1,10,HADDAD MAIA,HADDAD MAIA
Rome_2023_QF_Haddad-Maia_Kalinina,20.7,3_3_2,11,HADDAD MAIA,HADDAD MAIA
Madrid_2023_R64_Haddad-Maia_Andreeva,18.054,1_6_5,12,ANDREEVA,HADDAD MAIA
US_Open_2024_R32_Haddad-Maia_Kalinskaya,27.498,1_3_2,17,KALINSKAYA,HADDAD MAIA
